Date : 2024-08-18 17:10:38
Directory : c:\Projetos\weather-tracking
Total : 72 files,  1625 codes, 27 comments, 151 blanks, all 1803 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\DeviceFilterDb.cs                                   | C#       |         11 |          0 |          2 |         13 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\PersonFilterDb.cs                                   | C#       |          0 |          1 |          0 |          1 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherAlertFilterDb.cs                             | C#       |         13 |          0 |          2 |         15 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherConditionFilterDb.cs                         | C#       |         13 |          0 |          2 |         15 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherForecastFilterDb.cs                          | C#       |         13 |          0 |          2 |         15 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\FiltersDb\WeatherNotificationFilterDb.cs                      | C#       |         16 |          0 |          3 |         19 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IDeviceRepository.cs                               | C#       |         10 |          0 |          2 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherAlertRepository.cs                         | C#       |         10 |          0 |          2 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherConditionRepository.cs                     | C#       |         10 |          0 |          2 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherForecastRepository.cs                      | C#       |         10 |          0 |          2 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\Interfaces\IWeatherNotificationRepository.cs                  | C#       |         10 |          0 |          2 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Domain\iVertion.Domain.csproj                                        | XML      |         -1 |          0 |          0 |         -1 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Context\ApplicationDbContext.cs                           | C#       |          5 |          2 |          2 |          9 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\CityConfiguration.cs                | C#       |         12 |          0 |          0 |         12 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\DeviceConfiguration.cs              | C#       |         24 |          0 |          3 |         27 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\PersonConfiguration.cs              | C#       |          5 |          0 |         -1 |          4 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherAlertConfiguration.cs        | C#       |         23 |          0 |          2 |         25 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherConditionConfiguration.cs    | C#       |         19 |          0 |          2 |         21 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherForecastConfiguration.cs     | C#       |         19 |          0 |          2 |         21 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\EntitiesConfiguration\WeatherNotificationConfiguration.cs | C#       |         25 |          0 |          2 |         27 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\DeviceRepository.cs                          | C#       |         36 |          0 |          6 |         42 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\PersonRepository.cs                          | C#       |          2 |          0 |          0 |          2 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherAlertRepository.cs                    | C#       |         54 |          0 |          5 |         59 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherConditionRepository.cs                | C#       |         54 |          0 |          5 |         59 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherForecastRepository.cs                 | C#       |         54 |          0 |          6 |         60 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\Repositories\WeatherNotificationRepository.cs             | C#       |         74 |          0 |          6 |         80 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.Data\iVertion.Infra.Data.csproj                                | XML      |         -1 |          0 |          0 |         -1 |
| c:\Projetos\weather-tracking\Api\iVertion.Infra.IoC\DependencyInjectionAPI.cs                                  | C#       |          5 |          2 |          2 |          9 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\AccountController.cs                              | C#       |         -1 |         -3 |         -2 |         -6 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\AddressController.cs                              | C#       |          9 |          2 |          0 |         11 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\PersonController.cs                               | C#       |         32 |          5 |          5 |         42 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\TokenController.cs                                | C#       |          4 |         -3 |         -2 |         -1 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Controllers\UserController.cs                                 | C#       |         33 |          9 |          1 |         43 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\Models\LoginModel.cs                                          | C#       |         -1 |          0 |          0 |         -1 |
| c:\Projetos\weather-tracking\Api\iVertion.WebApi\iVertion.WebApi.xml                                           | XML      |         20 |          0 |          0 |         20 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\app_module.dart                                      | Dart     |          6 |          0 |          0 |          6 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\person_model.dart                             | Dart     |         28 |          0 |          4 |         32 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\user.dart                                     | Dart     |        -17 |          0 |         -3 |        -20 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\user_model.dart                               | Dart     |         44 |          0 |          3 |         47 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\models\weather_model.dart                            | Dart     |         15 |          0 |          0 |         15 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\services\network_service.dart                        | Dart     |         78 |          5 |         13 |         96 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\services\weather_service.dart                        | Dart     |          4 |          0 |         -1 |          3 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\viewmodels\auth_viewmodel.dart                       | Dart     |         31 |          5 |          9 |         45 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\viewmodels\person_viewmodel.dart                     | Dart     |         58 |          1 |          7 |         66 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\auth\login_page.dart                           | Dart     |         -2 |          0 |          0 |         -2 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\auth\register_page.dart                        | Dart     |        107 |          0 |          2 |        109 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\home\home_page.dart                            | Dart     |          2 |          0 |          0 |          2 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\views\person\register_person_page.dart               | Dart     |         86 |          0 |          3 |         89 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\lib\widgets\profile_widget.dart                          | Dart     |         45 |          1 |          5 |         51 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\linux\flutter\generated_plugin_registrant.cc             | C++      |          4 |          0 |          0 |          4 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\macos\Flutter\GeneratedPluginRegistrant.swift            | Swift    |          2 |          0 |          0 |          2 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\pubspec.yaml                                             | YAML     |          1 |          0 |          0 |          1 |
| c:\Projetos\weather-tracking\App\weather_tracking_app\windows\flutter\generated_plugin_registrant.cc           | C++      |          3 |          0 |          0 |          3 |
| Total                                                                                                          |          |      1,625 |         27 |        151 |      1,803 |
+----------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
